Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2021-01-04,6,13,4,129,11,4,7,2,0,2,3,1,0,2,2,4,3,7,4,5,5,0
2021-01-05,2,5,1,165,10,4,0,1,0,0,0,1,1,1,5,0,3,2,0,5,5,0
2021-01-06,1,8,4,91,19,2,10,0,2,0,6,8,5,5,13,2,17,5,0,5,9,3
2021-01-07,10,16,8,101,11,5,3,0,0,4,0,3,0,4,6,8,4,3,1,4,2,1
2021-01-08,4,9,1,143,6,4,2,1,0,2,3,1,0,1,1,1,2,4,4,6,2,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,23,1,228,25,11,8,3,0,1,7,12,3,4,4,3,11,3,2,21,13,1
2021-01-11,1,8,2,146,11,1,7,0,0,3,0,0,0,2,4,0,8,1,0,0,4,0
2021-01-12,4,14,0,84,3,27,18,1,0,0,6,3,2,1,5,5,12,2,0,2,11,0
2021-01-13,10,5,3,137,9,6,7,1,0,1,1,2,1,0,2,7,3,2,0,0,4,0
2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
